produto,n,score_medio,score_sd,compliance_rate
Azeite,6,37.666666666666664,10.68955876856789,16.666666666666664
Café,23,36.26086956521739,16.440574506950085,17.391304347826086
Chá,33,35.63636363636363,13.75413161067017,15.151515151515152
Mel,27,35.2962962962963,12.025021397117746,11.11111111111111
Vinho,46,32.08695652173913,11.41505066316011,8.695652173913043
Queijo,13,30.384615384615383,13.853630460030214,15.384615384615385
