algoritmo,n,score_medio,score_sd,compliance_rate
Random Forest,41,35.53658536585366,13.468662815913854,17.073170731707318
Deep Learning,12,35.416666666666664,13.872525714410108,8.333333333333332
SVM,43,34.7906976744186,11.442523322145846,13.953488372093023
Neural Network,31,33.29032258064516,15.14858309851034,12.903225806451612
XGBoost,13,31.615384615384617,11.339741777912916,0
PLS-DA,8,29.875,14.613472257768564,12.5
