algoritmo,acuracia_pooled,ic_inferior,ic_superior,n_estudos
Decision Tree,81.00887768121623,68.61451767549408,89.2737698023063,2
Deep Learning,90.50679584014583,87.08334073893134,93.09483994800885,15
Neural Network,90.80772810655976,88.75063981322991,92.52035376480609,32
PLS-DA,92.94815394628074,89.28096407531606,95.42501685423099,8
Random Forest,91.33340245842095,89.67624504205833,92.74607204456517,37
SVM,90.33457339492381,88.84304755064174,91.64545405894941,47
XGBoost,89.7964993674128,85.59473696044168,92.87470431334557,7
