algoritmo,acuracia_pooled,ic_inferior,ic_superior,n_estudos
Deep Learning,92.87182149056432,89.35095938157652,95.28995490470335,5
Neural Network,87.54,68.45757728462483,95.78825806037575,1
Other,87.44047874040258,82.81201620055461,90.95864499142992,5
Random Forest,85.69971465576806,79.3227416259553,90.349272026103,2
SVM,85.0,79.355080616588,89.30937133330973,2
Decision Tree,85.0,70.85181934360695,92.9628975697092,1
