regiao,acuracia_pooled,ic_inferior,ic_superior,n_estudos
África,90.2123205088054,87.19599232453994,92.57855035297095,16
América do Norte,90.50671458488009,84.6861896756904,94.26477774048114,6
América do Sul,91.334728939358925,89.25454582224798,93.04360083975246,26
Ásia,90.23279758793305,88.51527236695385,91.71750341529771,44
Europa,90.90305940395925,89.51443738776277,92.12396415901323,56
