preditor,estimativa,se,z,p,ic_inferior,ic_superior
Intercepto,2.786996114456456,0.26043320029731093,10.70138565772266,1.0026746673095622e-26,2.2765564214952208,3.2974358074176915
Ano (centrado),0.021124670812097877,0.012329481161184576,1.713346290564289,0.08664885098203412,-0.003040668211888975,0.04529000983608473
Log(n amostral),-0.08752688241341348,0.04364530387715234,-2.005413518480106,0.04491885768672685,-0.17307010610693846,-0.001983658719888523
