"Dim 1","Dim 2","Dim 3","Dim 4","Dim 5","Categoria"
-0.48376125571188,6.04323021387905,1.39083211590756,-0.503446122016766,0.0290785788501131,"Algoritmo_DecisionTree"
0.639185811252243,1.34431056976468,-1.37551416156988,-2.2997294157632,1.35369161523874,"Algoritmo_GradientBoosting"
1.66548188232816,0.134743867204568,-0.297662498325133,-0.35828947619037,0.0452252676754624,"Algoritmo_NeuralNetwork"
-0.30585258153864,-0.217988441740688,0.209341020469591,-0.0604041145396109,-0.128951873636256,"Algoritmo_Outros"
0.219598623968394,0.507222889639859,-1.55678075766505,1.77777415566789,0.8097007107505,"Algoritmo_RandomForest"
0.387705845790996,0.0677810447165873,-0.585852366771265,-2.25515959308445,1.16528532637063,"Algoritmo_SVM"
-0.231235764629112,-0.494591076690577,-0.203335230056629,-1.79883434191976,-0.172715880955123,"Instrumento_NIR"
-0.0270318386166792,0.0391641707796308,0.0832976002103791,0.173784022405867,-0.00471053806602945,"Instrumento_Outros"
0.281825841654965,-0.270045690901582,-0.715789196883976,-1.26425047799952,0.0711808227534527,"Instrumento_Sensor"
-0.882277105784363,-0.757293946107044,1.81399102650565,0.443207412492244,-1.75153666127503,"Produto_Coffee"
0.491598010503384,0.0655850485283807,-1.28698166525166,0.0753129349411115,-0.383109551579694,"Produto_Honey"
0.0300629690015135,-0.882981569356761,-1.60844588348941,-1.37538180788983,-2.91116886107548,"Produto_Meat"
-0.572135209331754,0.0351320612009784,-0.130980281192539,2.0481411452422,6.31578735513591,"Produto_Olive"
0.00929909611612675,-0.0123140334979955,0.0458807586774901,-0.0593471960369763,0.121972276974751,"Produto_Outros"
-0.558092906761741,-0.481611141374397,0.844859268658856,0.582496706283413,-1.21803827686185,"Produto_Tea"
-0.700657801223205,11.5264857605729,3.25671990259532,-2.57078951281862,-1.12268675967271,"Produto_Wine"
7.00435073888652,-0.464069758716552,3.36119093735972,1.46581744340676,2.5844939751926e-05,"Aplicacao_Authentication"
0.154984954433644,0.942381228678116,-0.209286172317794,-0.192898261435595,0.354342173724451,"Aplicacao_Classification"
-0.0319372547994634,-0.264198313774048,-0.487415021670801,0.125756260568829,-0.809201391475547,"Aplicacao_OriginDetection"
-0.204461884294467,-0.312547111205975,0.192876935967508,-0.140535822647685,0.159452854821107,"Aplicacao_Outros"
0.00278071858080281,-0.00137409954892078,-0.670024799329527,1.09568346611473,-1.0738531535251,"Aplicacao_QualityControl"
0.542136915803489,-0.307894091611872,0.08910341307666,0.596025466027408,-0.345597555173633,"Americas"
-0.301601696591988,0.400582816619355,-0.187367264292477,0.881653701489253,-0.079329029567214,"Asia"
-0.571343546017803,-0.608485919389544,0.80175766457112,0.300812978513867,2.63996503598311,"Europe"
0.0778134947274759,-0.0710661115278205,-0.000189991123662779,-0.566681049664947,-0.11957148123111,"Global"
-0.571636311322037,-0.227511291730531,0.863573047890277,0.0868342278701804,0.386896723067857,"2010-2014"
-0.299527590476496,0.35486253823684,0.338577936082023,0.205941036021058,-0.631484835886155,"2015-2019"
0.311787798805077,-0.0457813754766078,-0.596845972933912,-0.145024055353117,0.0969278798562419,"2020-2025"
10.591249187634,-0.589119868155859,6.48511028942102,1.90716162367926,0.129475527022255,"Periodo.NA"
