"Ano","RandomForest","SVM","NeuralNetwork","KNN","DecisionTree","GradientBoosting"
2010,0,0,0,0,0,0
2011,0,0,0,0,0,0
2012,0,1,0,0,0,0
2013,0,0,0,0,0,0
2014,0,0,0,0,0,0
2015,0,0,1,0,1,0
2016,2,0,0,0,0,0
2017,1,0,1,0,0,0
2018,0,0,0,0,1,0
2019,0,0,2,0,0,0
2020,0,0,1,0,0,0
2021,2,0,2,0,1,0
2022,1,2,8,1,0,0
2023,3,2,7,1,0,1
2024,4,1,5,0,1,1
2025,7,2,11,0,1,1
