teste,estatistica,p_valor
t-test (Blockchain),-1.83179795390391,0.07567002444761059
Chi-squared (Repositório),28.65505092801363,8.648810928269951e-8
ANOVA (Classificação),260.6177833786138,9.686428418366704e-49
