dimensao,score_medio,score_max_possivel,percentual
Findable,15.5,25,62
Accessible,3.614864864864865,25,14.45945945945946
Interoperable,8.006756756756756,25,32.027027027027025
Reusable,7.0675675675675675,25,28.27027027027027
