regiao,n,score_medio,score_sd,compliance_rate
África,15,36.333333333333336,12.624616920166424,26.666666666666668
Europa,76,34.26315789473684,13.329034394686543,11.842105263157894
América do Sul,27,34.111111111111114,15.892265495016831,14.814814814814813
Ásia,30,33,10.048159893302818,6.666666666666667
