produto,acuracia_pooled,ic_inferior,ic_superior,n_estudos
Azeite,89.8105907138495,86.22717512500898,92.54230918849173,10
Café,90.36028549123799,87.44757537670885,92.65389727393026,15
Chá,90.35488111777144,88.29667981448881,92.08357015178204,28
Mel,92.34319212612357,90.5299534409212,93.83289914301196,26
Outros,88.91034830042179,84.3475550366595,92.26503006944135,7
Queijo,91.53366733855077,88.8916072310233,93.59262570031947,17
Vinho,90.11178093838596,88.25629689677629,91.70166660904151,45
