validacao,acuracia_pooled,ic_inferior,ic_superior,n_estudos
Cross-validation,91.19896091505933,90.16056131586035,92.13733039126939,94
Holdout,90.52410001603968,88.40507427028123,92.28963962318889,27
Spatial CV,89.39580241018903,86.79038945119697,91.53744010712187,19
Temporal CV,87.49336262148755,82.16287671092472,91.3976564622226,8
